ID,Tamil Sentence,Category,Sentiment
1,பள்ளியில் மாணவர்கள் தரமான கல்வியை பெறுகின்றனர்.,Education,Negative
2,பள்ளியில் புதிய பாடத்திட்டம் அறிமுகப்படுத்தப்பட்டது.,Education,Negative
3,பள்ளியின் கட்டமைப்பு பழுதாக உள்ளது.,Education,Negative
4,இந்த பள்ளி மாணவர்களுக்கு சிறந்த கல்வி வழங்குகிறது.,Education,Positive
5,இந்த பள்ளியின் கல்வி தரம் மிக உயர்ந்தது.,Education,Negative
6,பள்ளியில் புத்தகங்கள் தேவையான அளவில் இல்லை.,Education,Positive
7,பள்ளியில் விளையாட்டு நடவடிக்கைகள் அதிகரிக்கப்பட்டுள்ளன.,Education,Positive
8,பள்ளியில் புதிய பாடத்திட்டம் அறிமுகப்படுத்தப்பட்டது.,Education,Negative
9,பள்ளியில் விளையாட்டு நடவடிக்கைகள் அதிகரிக்கப்பட்டுள்ளன.,Education,Positive
10,பள்ளியில் விளையாட்டு நடவடிக்கைகள் அதிகரிக்கப்பட்டுள்ளன.,Education,Positive
11,பள்ளியில் விளையாட்டு நடவடிக்கைகள் அதிகரிக்கப்பட்டுள்ளன.,Education,Positive
12,பள்ளியில் புதிய பாடத்திட்டம் அறிமுகப்படுத்தப்பட்டது.,Education,Positive
13,இந்த பள்ளியில் ஆசிரியர்கள் குறைவாக உள்ளனர்.,Education,Negative
14,பள்ளியில் விளையாட்டு நடவடிக்கைகள் அதிகரிக்கப்பட்டுள்ளன.,Education,Positive
15,இந்த பள்ளியில் ஆசிரியர்கள் குறைவாக உள்ளனர்.,Education,Negative
16,இந்த பள்ளி மாணவர்களுக்கு சிறந்த கல்வி வழங்குகிறது.,Education,Positive
17,இந்த பள்ளியில் ஆசிரியர்கள் குறைவாக உள்ளனர்.,Education,Negative
18,இந்த பள்ளி மாணவர்களுக்கு சிறந்த கல்வி வழங்குகிறது.,Education,Positive
19,பள்ளி ஆசிரியர்கள் சிறப்பாக பாடம் நடத்துகின்றனர்.,Education,Positive
20,பள்ளியின் கட்டமைப்பு பழுதாக உள்ளது.,Education,Positive
21,நிறுவனம் பொருளாதார சிக்கல்களை எதிர்கொள்கிறது.,Business,Negative
22,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Positive
23,நிறுவனத்தின் வளர்ச்சி மந்தமாக உள்ளது.,Business,Positive
24,சந்தையில் பொருட்களின் விலைகள் அதிகரிக்கின்றன.,Business,Positive
25,நிறுவனம் புதிய தொழில்நுட்பங்களை அறிமுகப்படுத்தியுள்ளது.,Business,Positive
26,பணம் பற்றிய கவலைகள் தொழிலதிபர்களை பாதிக்கின்றன.,Business,Positive
27,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Negative
28,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Negative
29,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Positive
30,நிறுவனத்தின் வளர்ச்சி மந்தமாக உள்ளது.,Business,Positive
31,சந்தையில் பொருட்களின் விலைகள் அதிகரிக்கின்றன.,Business,Negative
32,நிறுவனத்தின் உற்பத்தி திறன் குறைந்து வருகிறது.,Business,Negative
33,சந்தையில் பொருட்களின் விலைகள் அதிகரிக்கின்றன.,Business,Positive
34,நிறுவனம் பொருளாதார சிக்கல்களை எதிர்கொள்கிறது.,Business,Negative
35,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Positive
36,தொழிலதிபர்கள் அதிக நஷ்டம் அடைந்தனர்.,Business,Positive
37,நிறுவனம் பொருளாதார சிக்கல்களை எதிர்கொள்கிறது.,Business,Positive
38,பணம் பற்றிய கவலைகள் தொழிலதிபர்களை பாதிக்கின்றன.,Business,Negative
39,நிறுவனம் புதிய தொழில்நுட்பங்களை அறிமுகப்படுத்தியுள்ளது.,Business,Positive
40,நிறுவனத்தின் உற்பத்தி திறன் குறைந்து வருகிறது.,Business,Positive
41,நீர் பற்றாக்குறை விவசாயிகளை பாதிக்கிறது.,Agriculture,Positive
42,விவசாயத்திற்கு நல்ல மழை கிடைத்துள்ளது.,Agriculture,Negative
43,விவசாய நிலங்கள் மந்தமாக பயன்படுகின்றன.,Agriculture,Negative
44,விவசாயத்தில் புதிய தொழில்நுட்பம் அதிகரிக்கிறது.,Agriculture,Positive
45,விவசாயத்திற்கு நல்ல மழை கிடைத்துள்ளது.,Agriculture,Negative
46,நீர் பற்றாக்குறை விவசாயிகளை பாதிக்கிறது.,Agriculture,Negative
47,விவசாய பயிர்கள் மிகவும் ஆரோக்கியமாக வளர்கின்றன.,Agriculture,Negative
48,நீர் பற்றாக்குறை விவசாயிகளை பாதிக்கிறது.,Agriculture,Positive
